date,current_phase,stable_phase,previous_phase,big_up_candle,big_down_candle,candle_pct,future_20d_return
2025-11-27,RANGE,RANGE,RANGE,False,False,0.0139,-0.12559265610814072
2025-11-28,RANGE,RANGE,RANGE,False,False,0.0003,-0.13463089955627264
2025-12-01,RANGE,RANGE,RANGE,False,False,0.0199,-0.15761890635815284
2025-12-02,RANGE,RANGE,RANGE,False,False,-0.015,-0.14275675133018773
2025-12-03,RANGE,RANGE,RANGE,False,False,-0.0159,-0.12638988064878098
2025-12-04,RANGE,RANGE,RANGE,False,False,0.0184,-0.12050485825904038
2025-12-05,RANGE,RANGE,RANGE,False,False,-0.009,-0.09562316789649254
2025-12-08,RANGE,RANGE,RANGE,False,False,0.0243,-0.12030000986874566
2025-12-09,RANGE,RANGE,RANGE,False,False,-0.0118,-0.07120743034055724
2025-12-10,RANGE,RANGE,RANGE,False,True,-0.1,0.03573013759431867
2025-12-11,WAVE_UP,RANGE,RANGE,False,False,-0.0054,0.07095838446948566
2025-12-12,WAVE_UP,WAVE_UP,WAVE_UP,False,False,-0.0076,0.028667790893760505
2025-12-15,RANGE,WAVE_UP,WAVE_UP,False,True,-0.039,0.0930042115114647
2025-12-16,RANGE,RANGE,RANGE,False,True,-0.0323,0.12560444874274662
2025-12-17,RANGE,RANGE,RANGE,True,False,0.0394,0.08722958827634333
2025-12-18,WAVE_DOWN,RANGE,RANGE,False,False,-0.0128,0.11027332704995288
2025-12-19,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0114,0.07000582411182302
2025-12-22,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0184,0.12352739334324599
2025-12-23,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0026,0.10597764088523849
2025-12-24,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0058,0.10051635111876064
2025-12-25,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0054,0.07556529764651589
