date,current_phase,stable_phase,previous_phase,big_up_candle,big_down_candle,candle_pct,future_5d_return
2025-11-27,RANGE,RANGE,RANGE,False,False,-0.0001,0.005993340732519453
2025-11-28,RANGE,RANGE,RANGE,False,False,0.0063,0.007610014337708069
2025-12-01,RANGE,RANGE,RANGE,False,False,0.0104,-0.005567077829931247
2025-12-02,RANGE,RANGE,RANGE,False,False,-0.0053,-0.007243195785777077
2025-12-03,RANGE,RANGE,RANGE,False,False,-0.0018,-0.00010993843447663212
2025-12-04,RANGE,RANGE,RANGE,False,False,-0.0035,0.0050750220653132585
2025-12-05,RANGE,RANGE,RANGE,False,False,0.0079,0.009960595446585058
2025-12-08,RANGE,RANGE,RANGE,False,False,-0.0028,0.026454445664105538
2025-12-09,RANGE,RANGE,RANGE,False,False,-0.007,0.02144594295821367
2025-12-10,WAVE_UP,RANGE,RANGE,False,False,0.0054,0.023639362286970847
2025-12-11,RANGE,RANGE,WAVE_UP,False,False,0.0016,0.022832052689352383
2025-12-12,RANGE,RANGE,RANGE,False,False,0.0128,0.009320472526281596
2025-12-15,RANGE,RANGE,RANGE,False,False,0.0134,0.017110469468505866
2025-12-16,RANGE,RANGE,RANGE,False,False,-0.0119,0.043181818181818085
2025-12-17,RANGE,RANGE,RANGE,False,False,0.0076,0.03566058002148216
2025-12-18,RANGE,RANGE,RANGE,False,False,0.0009,0.02661515346640922
2025-12-19,RANGE,RANGE,RANGE,False,False,-0.0005,0.03618597659186081
2025-12-22,RANGE,RANGE,RANGE,False,False,0.0213,0.0054673535905794745
2025-12-23,WAVE_UP,RANGE,RANGE,False,False,0.0135,-0.028633675692499205
2025-12-24,WAVE_UP,WAVE_UP,WAVE_UP,False,False,0.0003,-0.03536610661688439
2025-12-25,WAVE_UP,WAVE_UP,WAVE_UP,False,False,-0.0079,-0.007422120008363109
2025-12-26,STRONG_UP,WAVE_UP,WAVE_UP,False,False,0.0088,-0.007564766839378279
2025-12-29,STRONG_UP,STRONG_UP,STRONG_UP,False,False,-0.009,-0.0047056363065983405
2025-12-30,WAVE_UP,STRONG_UP,STRONG_UP,False,False,-0.0209,0.015806899498024104
2025-12-31,WAVE_UP,WAVE_UP,WAVE_UP,False,False,-0.0066,0.031286958391570835
2026-01-05,WAVE_UP,WAVE_UP,WAVE_UP,False,False,0.0209,0.02969984202211691
2026-01-06,WAVE_UP,WAVE_UP,WAVE_UP,False,False,0.0086,0.022554035710556468
2026-01-07,WAVE_UP,WAVE_UP,WAVE_UP,False,False,-0.0062,0.0424458919941164
2026-01-08,RANGE,WAVE_UP,WAVE_UP,False,False,-0.0007,0.037430343812427894
2026-01-09,RANGE,RANGE,RANGE,False,False,0.0085,0.027627189324436904
2026-01-12,RANGE,RANGE,RANGE,False,False,0.0193,0.023422317684361357
