strategy,period,start,end,total_return,sharpe,max_drawdown,n_bdays
contrarian,2024-09-30 00:00:00,2024-09-02,2024-09-30,0.2124382795082187,4.09613160059538,-0.046792792792792914,21
contrarian,2024-12-31 00:00:00,2024-10-01,2024-12-31,0.011319237463958354,0.31371782341676524,-0.10437034845542714,66
bullish,2024-09-30 00:00:00,2024-09-02,2024-09-30,0.40362937152927625,3.960421928822568,-0.076512243731364,21
bullish,2024-12-31 00:00:00,2024-10-01,2024-12-31,-0.04693385153211127,-0.8460923311493002,-0.10824636376062091,66
bottom_3,2024-09-30 00:00:00,2024-09-02,2024-09-30,0.28043087914718723,3.800424079488784,-0.060409683307670714,21
bottom_3,2024-12-31 00:00:00,2024-10-01,2024-12-31,-0.01800576285480726,-0.2760575309732038,-0.09318481973283776,66
top_3,2024-09-30 00:00:00,2024-09-02,2024-09-30,0.33072326983736855,4.1492522167274934,-0.05266798136882955,21
top_3,2024-12-31 00:00:00,2024-10-01,2024-12-31,-0.0051450624683300195,-0.03995503662811788,-0.06661370311367709,66
equal_weight,2024-09-30 00:00:00,2024-09-02,2024-09-30,0.34047431267832007,4.190225571863258,-0.04439625333388164,21
equal_weight,2024-12-31 00:00:00,2024-10-01,2024-12-31,-0.02572298511502691,-0.5462249018356816,-0.07419976550019769,66
