strategy,period,start,end,total_return,sharpe,max_drawdown,n_bdays
contrarian,2025-03-31 00:00:00,2025-01-01,2025-03-31,-0.23647547014998738,-0.8572112337673403,-0.299250508777684,64
contrarian,2025-06-30 00:00:00,2025-04-01,2025-06-30,0.02333263969913446,0.44601827265877797,-0.19573281994614977,65
contrarian,2025-09-30 00:00:00,2025-07-01,2025-09-30,0.04839913293034992,0.8118849531847251,-0.06480251776197321,66
contrarian,2025-12-31 00:00:00,2025-10-01,2025-12-31,0.183300709976286,2.7939413615301305,-0.06648920280555237,66
bullish,2025-03-31 00:00:00,2025-01-01,2025-03-31,-0.1636907139066942,-1.5093762823097194,-0.2584777520193626,64
bullish,2025-06-30 00:00:00,2025-04-01,2025-06-30,0.11805830403810313,1.2712060129371001,-0.09225191258014442,65
bullish,2025-09-30 00:00:00,2025-07-01,2025-09-30,-0.02244380003765767,-0.4859526159254753,-0.0837928229506194,66
bullish,2025-12-31 00:00:00,2025-10-01,2025-12-31,0.025496299549389256,0.549517435621222,-0.09862712713626232,66
bottom_3,2025-03-31 00:00:00,2025-01-01,2025-03-31,-0.19712986709643876,-1.5462730639025053,-0.20878583865552836,64
bottom_3,2025-06-30 00:00:00,2025-04-01,2025-06-30,0.19843864304687142,1.6282269380935326,-0.10049527901308108,65
bottom_3,2025-09-30 00:00:00,2025-07-01,2025-09-30,-0.03035024649398632,-0.780841094642349,-0.06399450993789424,66
bottom_3,2025-12-31 00:00:00,2025-10-01,2025-12-31,-0.010708056888986794,-0.08730576169193151,-0.11042867461010386,66
top_3,2025-03-31 00:00:00,2025-01-01,2025-03-31,-0.20999263608268692,-2.288241031802542,-0.21699375550180955,64
top_3,2025-06-30 00:00:00,2025-04-01,2025-06-30,0.11698782520248452,1.6417444227920606,-0.045391547528786935,65
top_3,2025-09-30 00:00:00,2025-07-01,2025-09-30,-0.03341419108861299,-1.5221966380348126,-0.05693142527426531,66
top_3,2025-12-31 00:00:00,2025-10-01,2025-12-31,-0.005097858035827851,-0.014955493861854687,-0.08932765078856708,66
equal_weight,2025-03-31 00:00:00,2025-01-01,2025-03-31,-0.18162361266337446,-1.6287087807595082,-0.19622221004930207,64
equal_weight,2025-06-30 00:00:00,2025-04-01,2025-06-30,0.13273186329420295,1.5004090041556202,-0.07510987237823896,65
equal_weight,2025-09-30 00:00:00,2025-07-01,2025-09-30,-0.031840270936390525,-1.0072325956057882,-0.05100118006029786,66
equal_weight,2025-12-31 00:00:00,2025-10-01,2025-12-31,-0.006642854396204045,-0.04338490848027031,-0.09774709023387518,66
