date,open,high,low,close,volume,amount
2022-01-04,14.04,14.22,13.74,14.22,1169259,1918887056.0
2022-01-05,14.14,14.78,14.11,14.71,1961998,3344124592.0
2022-01-06,14.67,14.83,14.56,14.68,1107885,1896535840.0
2022-01-07,14.66,14.84,14.62,14.76,1126631,1937710960.0
2022-01-10,14.85,14.98,14.59,14.75,909774,1563414576.0
2022-01-11,14.82,15.1,14.7,14.97,1581999,2752485392.0
2022-01-12,14.97,15.01,14.46,14.56,1502164,2561266416.0
2022-01-13,14.47,14.8,14.38,14.54,909423,1550319152.0
2022-01-14,14.56,14.58,13.86,13.89,2103095,3459950800.0
2022-01-17,13.91,14.04,13.68,13.78,1143689,1855633792.0
2022-01-18,13.81,14.1,13.72,14.08,1152974,1891094608.0
2022-01-19,14.1,14.25,13.92,14.06,988392,1630973584.0
2022-01-20,14.03,15.02,13.98,14.89,3031194,5195805440.0
2022-01-21,15.01,15.12,14.77,14.91,1481683,2575115120.0
2022-01-24,14.9,14.94,14.54,14.76,874771,1501390336.0
2022-01-25,14.64,14.64,14.37,14.41,1093284,1851999024.0
2022-01-26,14.51,14.66,14.1,14.21,984975,1646384992.0
2022-01-27,14.06,14.1,13.81,13.86,1024643,1677261296.0
2022-01-28,13.95,14.01,13.38,13.39,1675564,2695470336.0
2022-02-07,13.58,13.97,13.45,13.95,1515476,2451798480.0
2022-02-08,13.86,14.53,13.82,14.39,1754695,2950309008.0
2022-02-09,14.48,14.56,14.27,14.42,1051162,1774253632.0
2022-02-10,14.33,14.59,14.23,14.55,784557,1326848944.0
2022-02-11,14.59,14.9,14.59,14.66,1078139,1852167488.0
2022-02-14,14.66,14.71,14.07,14.14,1150659,1917613424.0
2022-02-15,14.06,14.23,13.66,13.84,1208264,1968985376.0
2022-02-16,13.91,14.09,13.77,13.97,782400,1282234144.0
2022-02-17,13.95,14.11,13.88,13.98,794502,1306514352.0
2022-02-18,13.88,14.33,13.87,14.33,802499,1330233360.0
2022-02-21,14.22,14.23,13.88,14.07,800995,1316023712.0
2022-02-22,13.87,14.0,13.72,13.79,894957,1454156224.0
2022-02-23,13.86,13.87,13.6,13.75,886742,1431289856.0
2022-02-24,13.69,13.71,13.36,13.47,1324087,2112842560.0
2022-02-25,13.55,13.64,13.43,13.46,726397,1157890272.0
2022-02-28,13.46,13.48,13.18,13.31,723990,1137154096.0
2022-03-01,13.35,13.51,13.18,13.48,935040,1474693968.0
2022-03-02,13.35,13.43,13.22,13.24,760761,1196321952.0
2022-03-03,13.29,13.37,13.19,13.27,578285,908171584.0
2022-03-04,13.18,13.19,12.84,12.89,990936,1523793664.0
2022-03-07,12.73,12.73,12.22,12.28,1113159,1655959936.0
2022-03-08,12.18,12.42,11.81,11.87,1003033,1463145936.0
2022-03-09,11.96,12.01,10.78,11.4,1800760,2492042992.0
2022-03-10,11.74,12.31,11.65,12.13,2249158,3269867792.0
2022-03-11,11.96,12.54,11.71,12.46,1493647,2187480608.0
2022-03-14,12.19,12.49,12.01,12.05,1118407,1637278464.0
2022-03-15,11.96,11.96,11.16,11.24,1781409,2479769552.0
2022-03-16,11.42,11.96,11.07,11.87,1531779,2141637072.0
2022-03-17,12.22,12.27,11.8,12.01,1730061,2506504224.0
2022-03-18,11.92,12.41,11.7,12.26,1528807,2222158768.0
2022-03-21,12.06,12.38,11.95,12.15,1208868,1765673888.0
2022-03-22,12.15,12.78,12.06,12.74,1628657,2443174048.0
2022-03-23,12.67,12.75,12.46,12.56,1050102,1577561344.0
2022-03-24,12.48,12.87,12.37,12.76,1002360,1518870080.0
2022-03-25,12.71,12.81,12.38,12.54,742933,1116354592.0
2022-03-28,12.36,12.61,12.19,12.41,727137,1078327296.0
2022-03-29,12.44,12.51,12.16,12.24,615643,909169632.0
2022-03-30,12.42,12.83,12.32,12.77,1236792,1859617040.0
2022-03-31,12.66,13.13,12.62,12.94,1163747,1789209952.0
2022-04-01,12.93,13.35,12.76,13.31,1484879,2319616864.0
2022-04-06,13.2,14.1,13.19,13.95,2488540,4064051488.0
2022-04-07,13.94,14.22,13.76,13.84,1659065,2724002912.0
2022-04-08,13.82,14.01,13.69,13.96,1066779,1741072080.0
2022-04-11,13.91,13.96,13.36,13.61,1416735,2277469056.0
2022-04-12,13.61,13.82,13.22,13.48,1039261,1654820080.0
2022-04-13,13.45,13.64,13.28,13.36,890628,1415496128.0
2022-04-14,13.56,13.81,13.48,13.6,929615,1493343952.0
2022-04-15,13.46,14.09,13.42,13.98,1231761,2014010096.0
2022-04-18,13.71,13.76,13.37,13.46,1086888,1734236528.0
2022-04-19,13.46,13.53,13.18,13.37,821772,1294226944.0
2022-04-20,13.37,13.61,13.26,13.41,716555,1137697840.0
2022-04-21,13.33,13.54,13.26,13.37,709891,1124663648.0
2022-04-22,13.2,13.75,12.96,13.62,921274,1468452960.0
2022-04-25,13.23,13.47,12.34,12.41,1664481,2527610224.0
2022-04-26,12.44,12.54,12.01,12.29,988210,1456929632.0
